﻿世茂东壹号(别墅),﻿玉山-城东-前进东路233号,﻿121.053740,﻿31.380466,﻿23118,﻿别墅,"﻿多层1.8元/平方米/月,高层2.1",﻿750000m²,﻿6300户,﻿2009年,﻿6300,﻿1.5,﻿40%(高),﻿昆山世茂新发展置业有限公司,﻿上海世茂物业服务有限公司,0,0
﻿娄苑路小区,﻿玉山-城北-娄苑路,﻿120.950681,﻿31.395707,﻿14576,﻿暂无数据,﻿0.00元/㎡/月,﻿32500m²,﻿456户,﻿暂无数据,﻿456个,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿无,2,3
﻿珠江御景花园,﻿玉山-城东-同丰东路288号,﻿121.032411,﻿31.389894,﻿16818,﻿暂无数据,﻿1.90元/㎡/月,﻿620000m²,﻿2972户,﻿2014年,﻿3774,﻿3.6,﻿37%(一般),﻿昆山华敏建设有限公司,﻿康景物业,49,784
﻿红峰新村北区,﻿玉山-老城区-红峰东路,﻿120.944040,﻿31.382146,﻿32527,﻿暂无数据,﻿0.60元/㎡/月,﻿230000m²,﻿1190户,﻿2003年,﻿地面停车位,﻿1.8,﻿32%(一般),﻿昆山城市建设投资发展有限公司,﻿昆山红峰物业公司,12,272
﻿北上海假日广场,﻿玉山-城东-太仓市浏河镇郑和东路37号,﻿121.269584,﻿31.511416,﻿13956,﻿普通住宅,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿朝阳东村,﻿玉山-老城区-人民南路97号,﻿120.958113,﻿31.372193,﻿24023,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2000年,﻿地上车位,﻿1.6,﻿30%(一般),﻿昆山城建发展有限责任公司,﻿小区自治,0,6
﻿宏图国际公寓二期大城小室,"﻿花桥-赛格电子城-泗泾路,近外青松公路",﻿121.142601,﻿31.298017,﻿11818,﻿暂无数据,﻿0.00元/㎡/月,﻿288210m²,﻿1688户,﻿2008年,﻿678,﻿3.65,﻿30%(一般),﻿昆山市中常置业有限公司,﻿华丰物业,25,35
﻿馨悦家园,﻿张浦-张浦-新吴街,﻿120.946446,﻿31.284211,﻿11712,﻿公寓,﻿0.50元/平米/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.8,﻿25%(一般),﻿昆山城建发展有限责任公司,﻿暂无数据,7,106
﻿清华园,﻿玉山-城东-桃花江路77号,﻿120.991736,﻿31.388092,﻿28160,﻿暂无数据,﻿2.50元/㎡/月,﻿52360m²,﻿130户,﻿2003年,﻿地面停车位,﻿暂无数据,﻿40%(高),﻿暂无数据,﻿昆山荣御物业管理有限公司,4,37
﻿农房英伦尊邸(别墅),﻿张浦-张浦-商秧路,﻿120.944754,﻿31.272208,﻿17153,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,1,14
﻿森隆蓝波湾(别墅),﻿张浦-张浦-学士路188号,﻿120.937147,﻿31.280398,﻿14285,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿张浦裕花园(别墅),﻿张浦-张浦-锦上路,﻿120.925537,﻿31.283862,﻿14625,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,8,33
﻿心泊荷花苑,"﻿张浦-张浦-翰林路,近江浦南路",﻿120.931882,﻿31.274144,﻿11599,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,11,45
﻿心泊梅花苑,"﻿张浦-张浦-翰林路,近锦上路",﻿120.926237,﻿31.273962,﻿11852,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,25,157
﻿常发豪郡(南区),﻿陆家-陆家-星圃路233号,﻿121.069100,﻿31.336690,﻿13298,﻿暂无数据,﻿1.80元/㎡/月,﻿600000m²,﻿5631户,﻿2013年,﻿5631,﻿2,﻿40%(高),﻿昆山市海发置业有限公司,﻿南京和谐物业管理有限公司,133,1052
﻿昆山淀山湖,﻿淀山湖-淀山湖-淀山湖镇市中路,﻿120.980737,﻿31.385598,﻿17977,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿秦峰星尚,"﻿千灯-千灯古镇-炎中路,近黄浦江路",﻿121.017350,﻿31.257382,﻿8752,﻿暂无数据,﻿1.50元/㎡/月,﻿21700m²,﻿暂无数据,﻿2013年,﻿地面停车位、地下停车库,﻿1.5,﻿40%(高),﻿中茵控股集团有限公司,﻿苏州易亚物业,17,21
﻿横泾新村,﻿周市-昆山商厦-萧林东路,﻿120.951791,﻿31.402194,﻿12068,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2002年,﻿暂无数据,﻿1,﻿30%(一般),﻿暂无数据,﻿暂无数据,0,0
﻿昆山张浦农行后住宅楼,﻿张浦-张浦-新吴街72号,﻿120.945962,﻿31.284102,﻿9176,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿台昆国际商墅,﻿花桥-花桥新城-薜赵路99号,﻿120.963922,﻿31.332333,﻿12683,﻿暂无数据,﻿2.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.04,﻿25%(一般),﻿昆山市台昆置业有限公司,﻿上海采林物业,6,94
﻿花桥兴隆广场,﻿花桥-易买得-花园路,﻿121.125795,﻿31.285371,﻿14942,﻿其它,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿2002年,﻿地面停车位、地下停车库,﻿1,﻿36%(一般),﻿暂无数据,﻿暂无数据,0,0
﻿卿峰丽景别墅,﻿千灯-千灯古镇-机场路南侧、少卿西路2号,﻿120.995470,﻿31.272727,﻿15398,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿富荣花园,"﻿陆家-陆家-富荣路,近友谊路",﻿121.035649,﻿31.315989,﻿13838,﻿公寓,﻿1.00元/平米/月,﻿11700m²,﻿3687户,﻿2009年,﻿暂无数据,﻿1.2,﻿35%(一般),﻿市政建设,﻿惠民物业,19,47
﻿富荣尊苑,﻿陆家-陆家-友谊路,﻿121.026930,﻿31.313711,﻿8638,﻿普通住宅,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿地面停车场,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿香榭丽大道818号,﻿花桥-香榭丽大道-香榭丽大道818号,﻿121.104955,﻿31.288709,﻿10000,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿园丁新村,﻿陆家-陆家-南粮路14号,﻿121.037670,﻿31.314286,﻿14146,﻿暂无数据,﻿0.50元/㎡/月,﻿150000m²,﻿1270户,﻿2007年,﻿停车位共500个,﻿1.2,﻿40%(高),﻿昆山舜鑫房地产开发有限公司,﻿苏州市苏房物业管理有限公司,0,0
﻿金旺角大厦,﻿玉山-城东-前进东路时代大厦对面,﻿121.040588,﻿31.385152,﻿8783,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿箐华时代,﻿张浦-张浦-学士路,﻿120.938708,﻿31.280959,﻿10604,﻿普通住宅,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿阳澄湖庄,﻿巴城-阳澄湖-湖滨中路1598号,﻿120.849359,﻿31.458321,﻿18571,﻿暂无数据,﻿0.77元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2016年,﻿暂无数据,﻿暂无数据,﻿42%(高),﻿暂无数据,﻿暂无数据,0,0
﻿阳澄苏园(别墅),﻿巴城-阳澄湖-学院路,﻿120.843351,﻿31.478005,﻿19849,﻿暂无数据,﻿3.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿0.52,﻿36%(一般),﻿昆山通岛置业有限公司,﻿苏州胥口物业管理有限公司,0,0
﻿阳澄溢景苑,﻿巴城-阳澄湖-湖滨南路,﻿120.851948,﻿31.453871,﻿18478,﻿暂无数据,﻿2.35元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿0.8,﻿56%(高),﻿暂无数据,﻿新城物业管理有限公司,0,0
﻿杨林小区,﻿巴城-阳澄湖-巴城湖滨路,﻿120.846701,﻿31.462573,﻿8125,﻿公寓,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿2006年,﻿暂无数据,﻿1.2,﻿42%(高),﻿市政建设,﻿暂无数据,0,0
﻿天伦随园,﻿巴城-阳澄湖-临湖路999号,﻿120.851948,﻿31.453871,﻿20576,﻿暂无数据,﻿3.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿0.32,﻿65%(高),﻿昆山景康房产开发有限公司,﻿苏州天熠物业管理有限公司,0,0
﻿天使湾,﻿巴城-阳澄湖-民权路,﻿120.851948,﻿31.453871,﻿31818,﻿暂无数据,﻿2.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2007年,﻿暂无数据,﻿0.59,﻿45%(高),﻿上海易通房地产开发有限公司,﻿易通亚信,0,0
﻿文豪花园,﻿巴城-阳澄湖-湖滨路,﻿120.846701,﻿31.462573,﻿15769,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿阳澄湖世纪花苑,﻿巴城-阳澄湖-巴解路400弄,﻿120.851531,﻿31.456887,﻿14478,﻿暂无数据,﻿1.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2006年,﻿暂无数据,﻿0.3,﻿40%(高),﻿昆山城市建设投资发展有限公司,﻿暂无数据,0,0
﻿熙岸铭郡,﻿千灯-千灯古镇-景塘北路,﻿121.010216,﻿31.257518,﻿16740,﻿暂无数据,﻿2.80元/㎡/月,﻿11604m²,﻿61户,﻿2015年,﻿147,﻿0.6,﻿45%(高),﻿昆山华夏房地产有限公司,﻿昆山华夏物业有限公司,1,72
﻿玫瑰湾,﻿玉山-城东-杨树路,﻿121.028660,﻿31.394940,﻿16795,﻿暂无数据,﻿1.70元/㎡/月,﻿107130m²,﻿1042户,﻿2010年,﻿815,﻿2.5,﻿33%(一般),﻿昆山杉欣房产有限公司,﻿恒隆泰物业,20,288
﻿漾月湾,﻿巴城-阳澄湖-湖滨南路,﻿120.851948,﻿31.453871,﻿7954,﻿暂无数据,﻿1.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2004年,﻿暂无数据,﻿0.35,﻿60%(高),﻿江苏曼氏置业有限公司,﻿昆山市亚美物业管理公司,0,0
﻿颐湖园,﻿巴城-阳澄湖-阳澄中路18号,﻿120.851948,﻿31.453871,﻿20612,﻿暂无数据,﻿2.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2008年,﻿暂无数据,﻿暂无数据,﻿42%(高),﻿暂无数据,﻿暂无数据,0,0
﻿绿地世纪雅苑,﻿花桥-赛格电子城-外青松公路988号,﻿121.143029,﻿31.305060,﻿16151,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2014年,﻿暂无数据,﻿2,﻿40%(高),﻿昆山雅苑商业发展有限公司,﻿永绿物业,0,7
﻿福侬庄园(北区),﻿淀山湖-淀山湖-淀兴路,﻿121.037070,﻿31.180939,﻿15836,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿农工商房地产（集团）|昆山福侬置业有限公司,﻿绿城物业,20,63
﻿福运庄园二期,﻿淀山湖-淀山湖-曙光路9号,﻿121.036970,﻿31.177770,﻿19842,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿0.5,﻿47%(高),﻿昆山福运置业发展有限公司,﻿江苏爱涛物业管理有限公司,0,5
﻿珠泾花园,"﻿周市-昆山商厦-金龙路,近黄浦江北路",﻿121.012482,﻿31.400868,﻿16612,﻿暂无数据,﻿1.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2011年,﻿暂无数据,﻿1.2,﻿32%(一般),﻿昆山蔚洲房产开发有限公司,﻿暂无数据,1,57
﻿萧林别墅,﻿玉山-城北-同心路,﻿120.964866,﻿31.411716,﻿17692,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿32%(一般),﻿昆山华昌房地产开发有限公司,﻿昆山金侨物业,2,0
﻿花溪路119号小区,﻿花桥-花桥老镇-花溪路119号,﻿121.093681,﻿31.302555,﻿8000,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,1
﻿花溪路151号小区,﻿花桥-花桥老镇-花溪路151号,﻿121.092120,﻿31.302760,﻿15703,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,2
﻿淀山河滨花园,﻿淀山湖-淀山湖-淀兴路,﻿121.037070,﻿31.180939,﻿10606,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2007年,﻿暂无数据,﻿1.66,﻿30%(一般),﻿昆山吉祥置业有限公司,﻿金阳物业管理有限公司,0,0
﻿东湖花园,﻿淀山湖-淀山湖-淀兴路,﻿121.037070,﻿31.180939,﻿12745,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2005年,﻿暂无数据,﻿暂无数据,﻿54%(高),﻿当地拆迁办,﻿昆山东湖房屋开发有限责任公司,2,9
﻿龙邑小区(别墅),﻿陆家-合丰-春阳路,﻿120.996522,﻿31.343298,﻿11768,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,1
﻿浦西玫瑰园,﻿花桥-硅湖学院-光明路18号,﻿121.016732,﻿31.545295,﻿22875,﻿暂无数据,﻿2.87元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2020年,﻿暂无数据,﻿2.5,﻿40%(高),﻿昆山合泰房地产开发有限公司,﻿融创物业服务集团有限公司,0,32
﻿鑫达风和日丽,﻿张浦-南港-震阳路231号,﻿120.886500,﻿31.266920,﻿11986,﻿暂无数据,﻿0.50元/㎡/月,﻿140758m²,﻿1200户,﻿2010年,﻿729,﻿1.5,﻿35%(一般),﻿昆山市鑫达房地产置业有限公司,﻿珠海葆利物业管理有限公司,9,97
﻿阳澄花园,﻿巴城-正仪-君子亭路,﻿120.861813,﻿31.372326,﻿12635,﻿暂无数据,﻿0.60元/㎡/月,﻿65300m²,﻿600户,﻿2001年,﻿300,﻿1.53,﻿30%(一般),﻿承信房地产开发经营有限公司,﻿苏州新区鸿翔物业公司,8,27
﻿金山嘉园,﻿周市-周市-青阳北路99号,﻿120.995694,﻿31.455965,﻿13333,﻿暂无数据,﻿1.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2009年,﻿地面停车场、地下停车场,﻿1.8,﻿36%(一般),﻿江苏城市建设,﻿小区物业,0,11
﻿留晖新村,﻿玉山-城北-人民南路,﻿120.956194,﻿31.364133,﻿19142,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2000年,﻿暂无数据,﻿1.2,﻿30%(一般),﻿暂无数据,﻿暂无数据,0,0
﻿黄浦家园,﻿周市-昆山商厦-金龙路,﻿120.994746,﻿31.402725,﻿16073,﻿暂无数据,﻿1.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.6,﻿42%(高),﻿市政建设,﻿佳乐物业,0,53
﻿淀湖芳华里,﻿淀山湖-淀山湖-新乐路2002号,﻿120.985926,﻿31.192476,﻿16446,﻿暂无数据,﻿3.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.02,﻿40%(高),﻿昆山大唐和筑置业有限公司,﻿浙江绿升物业服务有限公司,0,109
﻿福侬庄园,﻿淀山湖-淀山湖-淀兴路333号,﻿121.041254,﻿31.180203,﻿15744,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2015年,﻿暂无数据,﻿1.6,﻿43%(高),﻿农工商房地产(集团)昆山福侬置业有限公司,﻿绿城物业,0,0
﻿孝贤坊C区,﻿花桥-香榭丽大道-易买得旁边,﻿121.125033,﻿31.285685,﻿18539,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿碧湖苑,﻿陆家-陆家-菉溪路44号,﻿121.046843,﻿31.314007,﻿13129,﻿暂无数据,﻿0.50元/㎡/月,﻿86000m²,﻿880户,﻿2009年,﻿300,﻿1.2,﻿35%(一般),﻿市政建设,﻿业主自治,2,7
﻿东通山弄,﻿玉山-老城区-环城北路,﻿120.955616,﻿31.387941,﻿33366,﻿暂无数据,﻿1.50元/㎡/月,﻿60000m²,﻿80户,﻿1998年,﻿300,﻿1.5,﻿36%(一般),﻿暂无数据,﻿保时洁物业,12,42
﻿少卿东路52号小区,﻿千灯-千灯古镇-少卿东路52号,﻿121.006683,﻿31.267802,﻿8780,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,0
﻿远东世纪园,﻿周市-昆山商厦-青阳北路1号,﻿120.996332,﻿31.397976,﻿35686,﻿暂无数据,﻿1.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2004年,﻿地面停车位,﻿1.2,﻿38%(一般),﻿暂无数据,﻿暂无数据,3,42
﻿莲花苑,﻿张浦-南港-莲花路113号,﻿120.888946,﻿31.276888,﻿7303,﻿暂无数据,﻿0.50元/㎡/月,﻿23000m²,﻿400户,﻿2009年,﻿200,﻿2.1,﻿37%(一般),﻿江苏城市建设,﻿开元物业管理有限公司,0,0
﻿胜巷新村,﻿花桥-赛格电子城-胜巷路180号,﻿121.145935,﻿31.303601,﻿16112,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2012年,﻿暂无数据,﻿2.35,﻿30%(一般),﻿市政建设,﻿暂无数据,0,0
﻿人民南路69号小区,﻿玉山-老城区-人民南路69号,﻿120.958319,﻿31.370482,﻿20000,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山城建发展有限责任公司,﻿小区自治,0,4
﻿大名城名郡,﻿花桥-赛格电子城-嘉定秦安路27弄（11号线安亭站）,﻿121.155741,﻿31.285926,﻿15294,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿锦上御府(公寓),﻿千灯-千灯古镇-宏洋路,﻿120.989189,﻿31.270043,﻿11818,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2014年,﻿暂无数据,﻿1.2,﻿40%(高),﻿暂无数据,﻿暂无数据,0,0
﻿中航城(商住楼),﻿玉山-城东-前进东路589号,﻿121.027440,﻿31.383192,﻿14637,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿中航地产,﻿中航大北物业管理有限公司,14,53
﻿晨曦北园,"﻿玉山-城东-太湖北路,近同丰路",﻿121.042464,﻿31.388087,﻿13139,﻿暂无数据,﻿0.30元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2005年,﻿暂无数据,﻿1.58,﻿36%(一般),﻿苏州中惠房地产开发有限公司,﻿志远物业物业有限公司,0,0
﻿赛格国际公寓,﻿花桥-赛格电子城-曹新路,﻿121.147634,﻿31.291332,﻿13272,﻿暂无数据,﻿2.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2011年,﻿暂无数据,﻿3.86,﻿20%(一般),﻿江苏美通投资有限公司_x000D_,﻿上房物业管理有限公司,0,0
﻿东江花园,﻿千灯-千灯古镇-景唐南路与南浦东路交界处,﻿121.008677,﻿31.247792,﻿9545,﻿普通住宅,"﻿动迁户120,元每年 够买户240元每年",﻿60000m²,﻿1500户,﻿2010年,﻿750,﻿1.76,﻿35%(一般),﻿昆山恒升置业发展有限公司,﻿江苏爱涛物业有限公司,0,0
﻿宏浦西园,﻿千灯-石浦-宏川路,﻿121.044895,﻿31.254693,﻿8893,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿地面停车位,﻿1,﻿40%(高),﻿江苏城市建设,﻿小区自治,1,4
﻿石墩新村,﻿淀山湖-淀山湖-淀兴路911号,﻿121.024674,﻿31.181882,﻿10937,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山城建发展有限责任公司,﻿暂无数据,1,2
﻿万科魅力花园(东区),﻿花桥-花桥新城-金融大道355号,﻿121.078004,﻿31.276681,﻿18616,﻿暂无数据,﻿3.34元/㎡/月,﻿460000m²,﻿4272户,﻿暂无数据,﻿3027,﻿2.5,﻿40%(高),﻿昆山万科房地产有限公司,﻿江苏苏南万科物业服务有限公司,71,1156
﻿首创悦都,﻿玉山-城东-昆嘉路318号,﻿121.066999,﻿31.368809,﻿15712,﻿暂无数据,﻿1.88元/㎡/月,﻿1278476m²,﻿12000户,﻿暂无数据,﻿8416,﻿2.2,﻿40%(高),﻿首创奥莱（昆山）置业有限公司,﻿北京盛世物业服务有限公司,156,2590
﻿中星城际广场鼎苑,﻿玉山-城南-九华山路60号,﻿120.955954,﻿31.354300,﻿20440,﻿暂无数据,﻿2.98元/㎡/月,﻿342826m²,﻿576户,﻿2015年,﻿576,﻿2.8,﻿37%(一般),﻿中星（昆山）城际置业有限公司,﻿上海中星申城物业有限公司,134,421
﻿千灯裕花园(南区),"﻿千灯-千灯新城-汉昆路,近延福路",﻿121.026872,﻿31.251535,﻿12098,﻿暂无数据,﻿1.80元/㎡/月,﻿287925m²,﻿4407户,﻿2016年,﻿4057,﻿2,﻿40%(高),﻿香港建滔化工集团全资附属公司|昆山千灯盛,﻿昆山国瑞物业管理有限公司,63,821
﻿尚千灯,﻿千灯-千灯古镇-景泾路,﻿121.011347,﻿31.252525,﻿10278,﻿暂无数据,﻿2.00元/㎡/月,﻿17700m²,﻿378户,﻿2012年,﻿40,﻿1.6,﻿20%(一般),﻿苏州华轩投资发展有限公司,﻿苏州桂花园林物业,15,51
﻿太仓茂林财富中心,﻿玉山-城东-海麒路与浮璜路交汇处,﻿120.980737,﻿31.385598,﻿12244,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿纳帕溪醍,﻿锦溪-锦溪-锦商路66号,﻿120.925170,﻿31.143599,﻿18860,﻿暂无数据,﻿3.80元/㎡/月,﻿100000m²,﻿315户,﻿暂无数据,﻿地上车位数：477个地下车位数：177个车位总数：654个,﻿0.49,﻿41%(高),﻿昆山钟鼎房地产开发有限公司,﻿绿城物业服务集团有限公司,1,37
﻿米筛巷花园,﻿花桥-赛格电子城-三星路，近百家巷路,﻿121.144596,﻿31.293790,﻿16479,﻿暂无数据,﻿0.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2014年,﻿暂无数据,﻿1.2,﻿35%(一般),﻿昆山花桥国际商务城置业有限公司,﻿小区物业,21,9
﻿景仓苑,﻿玉山-城东-人民南路和南园西路交汇处,﻿121.113425,﻿31.440439,﻿11461,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿桃园新村,﻿玉山-城东-人民北路与弇山路交汇处,﻿121.101846,﻿31.459607,﻿22727,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿兆丰99•阳光新生活广场,﻿花桥-赛格电子城-花桥赛格电子兆丰路8号,﻿121.153830,﻿31.286186,﻿14500,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,1,0
﻿南园新村,﻿玉山-城东-南园东路和体育弄交汇处,﻿121.115340,﻿31.442089,﻿15517,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿恒洋花苑,﻿玉山-城东-南门街和南园西路交汇处,﻿121.111111,﻿31.438587,﻿8781,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿利民花园,﻿玉山-城东-鹊桥路和书院路交汇处,﻿121.129734,﻿31.422491,﻿8041,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿名都花苑,﻿玉山-城东-人民北路和郑和西路交汇处,﻿121.102772,﻿31.452964,﻿12797,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿华盛二园,﻿玉山-城东-人民北路和苏州西路交汇处,﻿121.094647,﻿31.463099,﻿11000,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
